subparam,unit1,value1,unit2,value2,modelname,modelid,specifications.topparam
Maximum Net Power - Iso 9249,hp,230,kw,171.6,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Net Torque - Sae J1349,lb ft,858,Nm,1163.3,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Net Torque - Iso 9249,lb ft,858,Nm,1163.3,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Note (4),,The gross power advertised is with the fan at maximum speed.,,The gross power advertised is with the fan at maximum speed.,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Gross Power - Sae J1995,hp,250,kw,186.5,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Gross Power - Engine Speed,rpm,2100,rpm,2100,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Power - Iso 14396,hp,249,kw,185.7,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Power - Engine Speed,rpm,2100,rpm,2100,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Net Power - Sae J1349,hp,230,kw,171.6,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Net Power - Engine Speed,rpm,2000,rpm,2000,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Peak Gross Torque - Sae J1995,lb ft,911,Nm,1235.2,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Peak Gross Torque - Engine Speed,rpm,1300,rpm,1300,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Peak Torque - Iso 14396,lb ft,908,Nm,1231.1,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Peak Torque - Engine Speed,rpm,1300,rpm,1300,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Maximum Net Torque - Engine Speed,rpm,1300,rpm,1300,950M Millyard,113298,Engine - Tier 4 Final/Stage Iv
Rops,,ISO 3471:2008,,ISO 3471:2008,950M Millyard,113298,Cab/Sound
Fops,,ISO 3449:2005 Level II,,ISO 3449:2005 Level II,950M Millyard,113298,Cab/Sound
Note (1),,"The sound values indicated below are for specific operating conditions only. Machine and operator sound levels will vary at different engine and/or cooling fan speeds. Hearing protection may be needed when the machine is operated with a cabin that is not properly maintained, or when the doors and/or windows are open for extended periods or in a noisy environment.",,"The sound values indicated below are for specific operating conditions only. Machine and operator sound levels will vary at different engine and/or cooling fan speeds. Hearing protection may be needed when the machine is operated with a cabin that is not properly maintained, or when the doors and/or windows are open for extended periods or in a noisy environment.",950M Millyard,113298,Cab/Sound
Note (2),,"*Distance of 15 m (49.2 ft), moving forward in second gear ratio.",,"*Distance of 15 m (49.2 ft), moving forward in second gear ratio.",950M Millyard,113298,Cab/Sound
With Cooling Fan Speed At Maximum Value - Operator Sound Pressure Level (Iso 6396:2008),,70 dB(A),,70 dB(A),950M Millyard,113298,Cab/Sound
With Cooling Fan Speed At Maximum Value - Exterior Sound Power Level (Iso 6395:2008),,107 dB(A),,107 dB(A),950M Millyard,113298,Cab/Sound
With Cooling Fan Speed At Maximum Value - Exterior Sound Pressure Level (Sae J88:2013)*,,75 dB(A),,75 dB(A),950M Millyard,113298,Cab/Sound
U.S. Epa Tier 4 Final/Eu Stage Iv,hp,250,kw,186.5,950M Millyard,113298,Maximum Power Sae J1995
Equivalent To Tier 3/Stage Iiia,hp,263,kw,196.2,950M Millyard,113298,Maximum Power Sae J1995
Displacement,cu in,427.8,L,7.1,950K Power Package,113299,Engine
Bore,in,4.1,mm,104.2,950K Power Package,113299,Engine
Stroke,in,5.3,mm,134.7,950K Power Package,113299,Engine
Net Power - Iso 9249,hp,221,kw,164.8,950K Power Package,113299,Engine
Engine Model,,Cat? C7.1 ACERT?,,Cat? C7.1 ACERT?,950K Power Package,113299,Engine
"Peak Net Torque - 1,400 Rpm - Sae J1349",lb ft,729,Nm,988.4,950K Power Package,113299,Engine
"Maximum Gross Power - 1,900 Rpm - Sae J1995",hp,243,kw,181.3,950K Power Package,113299,Engine
"Maximum Net Power - 1,900 Rpm - Iso 9249",hp,221,kw,164.8,950K Power Package,113299,Engine
"Maximum Net Power - 1,900 Rpm - Sae J1349",hp,221,kw,164.8,950K Power Package,113299,Engine
"Maximum Gross Power - 1,900 Rpm - Sae J1995 - Metric",hp,245,kw,182.7,950K Power Package,113299,Engine
"Maximum Net Power - 1,900 Rpm - Iso 9249 - Metric",hp,224,kw,167.1,950K Power Package,113299,Engine
"Maximum Net Power - 1,900 Rpm - Sae J1349 - Metric",hp,224,kw,167.1,950K Power Package,113299,Engine
"Maximum Net Power - 1,900 Rpm - Eec 80/1269",hp,221,kw,164.8,950K Power Package,113299,Engine
"Maximum Net Power - 1,900 Rpm - Eec 80/1269 - Metric",hp,224,kw,167.1,950K Power Package,113299,Engine
"Peak Gross Torque - 1,300 Rpm - Sae J1995",lb ft,777,Nm,1053.5,950K Power Package,113299,Engine
Operating Weight,lb,44064,kg,19987.1,950K Power Package,113299,Operational
Forward - 1,mph,4.3,km/h,7,950K Power Package,113299,Transmission
Forward - 2,mph,8,km/h,12.9,950K Power Package,113299,Transmission
Forward - 3,mph,14.1,km/h,22.7,950K Power Package,113299,Transmission
Forward - 4,mph,23.6,km/h,38,950K Power Package,113299,Transmission
Reverse - 1,mph,4.7,km/h,7.6,950K Power Package,113299,Transmission
Reverse - 2,mph,8.8,km/h,14.2,950K Power Package,113299,Transmission
Reverse - 3,mph,15.4,km/h,24.8,950K Power Package,113299,Transmission
Reverse - 4,mph,24.7,km/h,39.8,950K Power Package,113299,Transmission
Operating Weight,lb,44064,kg,19987.1,950K Power Package,113299,Weights
Tires,,Choices,,Choices,950K Power Package,113299,Tires
Bucket Capacities,,2.50 to 9.20 m3 (3.25 to 12.00 yd3),,2.50 to 9.20 m3 (3.25 to 12.00 yd3),950K Power Package,113299,Buckets
Front,,Fixed,,Fixed,950K Power Package,113299,Axles
Rear,,Oscillating ?13 degrees,,Oscillating ?13 degrees,950K Power Package,113299,Axles
Maximum Single-Wheel Rise And Fall,in,18.9,mm,480.1,950K Power Package,113299,Axles
Hydraulic Cycle Time - Total,,10 s,,10 s,950K Power Package,113299,Hydraulic System
Implement System - Maximum Operating Pressure,,3800 psi,,3800 psi,950K Power Package,113299,Hydraulic System
"Hydraulic Cycle Time - Lower, Empty, Float Down",,2.5 s,,2.5 s,950K Power Package,113299,Hydraulic System
Steering System - Pump Type,,Piston,,Piston,950K Power Package,113299,Hydraulic System
Hydraulic Cycle Time - Raise From Carry Position,,5.9 s,,5.9 s,950K Power Package,113299,Hydraulic System
"Hydraulic Cycle Time - Dump, At Maximum Raise",,1.8 s,,1.8 s,950K Power Package,113299,Hydraulic System
"Implement System - Maximum Pump Output At 2,340 Rpm",,90 gal/min,,90 gal/min,950K Power Package,113299,Hydraulic System
Implement System - Optional 3rd And 4th Function Maximum Flow,,74 gal/min,,74 gal/min,950K Power Package,113299,Hydraulic System
Implement System - Optional 3rd And 4th Function Maximum Pressure,,3000 psi,,3000 psi,950K Power Package,113299,Hydraulic System
Brakes,,"Meet OSHA, SAE J1473 OCT90 and ISO 3450-1985 required standards",,"Meet OSHA, SAE J1473 OCT90 and ISO 3450-1985 required standards",950K Power Package,113299,Brakes
Breakout Force,lb,34742,kg,15758.8,950K Power Package,113299,Operating Specifications
Static Tipping Load - Full 40 Degrees Turn - Iso 14397-1*,lb,25883,kg,11740.4,950K Power Package,113299,Operating Specifications
Static Tipping Load - Full 40 Degrees Turn - Rigid Tires**,lb,27751,kg,12587.7,950K Power Package,113299,Operating Specifications
Cooling System,gal,15.9,L,60.2,950K Power Package,113299,Service Refill Capacities
Crankcase,gal,4.8,L,18.2,950K Power Package,113299,Service Refill Capacities
Hydraulic Tank,gal,49.9,L,188.9,950K Power Package,113299,Service Refill Capacities
Fuel Tank - Standard,gal,83,L,314.2,950K Power Package,113299,Service Refill Capacities
Transmission,gal,11.4,L,43.2,950K Power Package,113299,Service Refill Capacities
Differential - Final Drives - Front,gal,11.4,L,43.2,950K Power Package,113299,Service Refill Capacities
Differential - Final Drives - Rear,gal,11.4,L,43.2,950K Power Package,113299,Service Refill Capacities
Standards,,Standards,,Standards,950K Power Package,113299,Sound
Rops/Fops,,Meets SAE and ISO standards,,Meets SAE and ISO standards,950K Power Package,113299,Cab
Displacement,cu in,629,L,10.4,966G Series II,113309,Engine
Bore,in,4.9,mm,124.5,966G Series II,113309,Engine
Stroke,in,5.5,mm,139.7,966G Series II,113309,Engine
Net Power - Iso 9249,hp,259,kw,193.2,966G Series II,113309,Engine
Net Power - 80/1269/Eec,hp,259,kw,193.2,966G Series II,113309,Engine
Engine Model,,Caterpillar 3176C with ATAAC,,Caterpillar 3176C with ATAAC,966G Series II,113309,Engine
Flywheel Power,hp,246,kw,183.5,966G Series II,113309,Engine
Maximum Flywheel Power,hp,260,kw,193.9,966G Series II,113309,Engine
Total Torque Rise,,49 %,,49 %,966G Series II,113309,Engine
"Peak Torque - 1,200 Rpm - Net",lb ft,896,Nm,1214.9,966G Series II,113309,Engine
Operating Weight,lb,50400,kg,22861.1,966G Series II,113309,Operational
Forward - 1,mph,4.5,km/h,7.3,966G Series II,113309,Transmission
Forward - 2,mph,7.8,km/h,12.6,966G Series II,113309,Transmission
Forward - 3,mph,13.5,km/h,21.8,966G Series II,113309,Transmission
Forward - 4,mph,23.1,km/h,37.2,966G Series II,113309,Transmission
Reverse - 1,mph,5.1,km/h,8.3,966G Series II,113309,Transmission
Reverse - 2,mph,8.9,km/h,14.4,966G Series II,113309,Transmission
Reverse - 3,mph,15.3,km/h,24.7,966G Series II,113309,Transmission
Reverse - 4,mph,23.9,km/h,38.5,966G Series II,113309,Transmission
Operating Weight,lb,50400,kg,22861.1,966G Series II,113309,Weights
Bucket Capacities,,3.5-4.25 m3 (4.5-5.5 yd3),,3.5-4.25 m3 (4.5-5.5 yd3),966G Series II,113309,Buckets
Front,,Fixed front,,Fixed front,966G Series II,113309,Axles
Rear,,Oscillating +/-13?,,Oscillating +/-13?,966G Series II,113309,Axles
Maximum Single-Wheel Rise And Fall,in,19.8,mm,503,966G Series II,113309,Axles
Hydraulic Cycle Time - Total,,10.1 s,,10.1 s,966G Series II,113309,Hydraulic System
"Hydraulic Cycle Time - Lower, Empty, Float Down",,1.8 s,,1.8 s,966G Series II,113309,Hydraulic System
Hydraulic Cycle Time - Raise,,6.9 s,,6.9 s,966G Series II,113309,Hydraulic System
Pilot System - Pump Output,,12 gal/min,,12 gal/min,966G Series II,113309,Hydraulic System
Bucket/Work Tool System - Relief Valve Setting,,3000 psi,,3000 psi,966G Series II,113309,Hydraulic System
Hydraulic Cycle Time - Dump,,1.4 s,,1.4 s,966G Series II,113309,Hydraulic System
Pilot System - Working Pressure - Pilot,,375 psi,,375 psi,966G Series II,113309,Hydraulic System
Pilot System - Working Pressure - E/H,,500 psi,,500 psi,966G Series II,113309,Hydraulic System
Brakes,,Meets required standards.,,Meets required standards.,966G Series II,113309,Brakes
Cooling System,gal,21,L,79.5,966G Series II,113309,Service Refill Capacities
Crankcase,gal,9,L,34.1,966G Series II,113309,Service Refill Capacities
Hydraulic Tank,gal,37,L,140.1,966G Series II,113309,Service Refill Capacities
Hydraulic System - Including Tank,gal,55,L,208.2,966G Series II,113309,Service Refill Capacities
Fuel Tank - Standard,gal,100.4,L,380.1,966G Series II,113309,Service Refill Capacities
Transmission,gal,13,L,49.3,966G Series II,113309,Service Refill Capacities
Differential - Final Drives - Front,gal,17,L,64.4,966G Series II,113309,Service Refill Capacities
Differential - Final Drives - Rear,gal,17,L,64.4,966G Series II,113309,Service Refill Capacities
Rops/Fops,,Meets SAE and ISO standards,,Meets SAE and ISO standards,966G Series II,113309,Cab
Displacement,cu in,428,L,7.1,950M (TIER 4/STAGE IV) (2016),113310,Engine
Net Power - Iso 9249,hp,230,kw,171.6,950M (TIER 4/STAGE IV) (2016),113310,Engine
Engine Model,,Cat C7.1 ACERT,,Cat C7.1 ACERT,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Peak Gross Torque - 1,300 Rpm - Sae J1995",lb ft,911,Nm,1235.2,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Gross Power - 2,100 Rpm - Sae J1995",hp,250,kw,186.5,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Net Power - 2,100 Rpm - Sae J1349",hp,230,kw,171.6,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Peak Gross Torque - 1,300 Rpm - Iso 14396",lb ft,908,Nm,1231.1,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Gross Power - 2,100 Rpm - Iso 14396 - Metric",hp,253,kw,188.7,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Net Power - 2,100 Rpm - Iso 9249 - Metric",hp,232,kw,173.1,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Gross Power - 2,100 Rpm - Iso 14396",hp,249,kw,185.7,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Net Power - 2,100 Rpm - Iso 9249",hp,230,kw,171.6,950M (TIER 4/STAGE IV) (2016),113310,Engine
"Maximum Net Torque - 1,300 Rpm",lb ft,858,Nm,1163.3,950M (TIER 4/STAGE IV) (2016),113310,Engine
Operating Weight,lb,42357,kg,19212.9,950M (TIER 4/STAGE IV) (2016),113310,Operational
Forward - 1,mph,4.3,km/h,7,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Forward - 2,mph,7.5,km/h,12.1,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Forward - 3,mph,12,km/h,19.4,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Forward - 4,mph,16,km/h,25.8,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Forward - 5,mph,24.5,km/h,39.5,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Note,,Maximum travel speed in standard vehicle with empty bucket and standard L3 tires with 787 mm (31 in) roll radius.,,Maximum travel speed in standard vehicle with empty bucket and standard L3 tires with 787 mm (31 in) roll radius.,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Reverse - 1,mph,4.3,km/h,7,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Reverse - 2,mph,7.5,km/h,12.1,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Reverse - 3,mph,16,km/h,25.8,950M (TIER 4/STAGE IV) (2016),113310,Transmission
Operating Weight,lb,42357,kg,19212.9,950M (TIER 4/STAGE IV) (2016),113310,Weights
Note,,"Weight based on a machine configuration with Michelin 23.5R25 XHA2 L3 radial tires, full fluids, operator, standard counterweight, cold start, roading fenders, Product Link, manual diff lock/open axles (front/rear), power train guard, secondary steering, sound suppression and a 3.1 m3 (4.1 yd3) general purpose bucket with BOCE.",,"Weight based on a machine configuration with Michelin 23.5R25 XHA2 L3 radial tires, full fluids, operator, standard counterweight, cold start, roading fenders, Product Link, manual diff lock/open axles (front/rear), power train guard, secondary steering, sound suppression and a 3.1 m3 (4.1 yd3) general purpose bucket with BOCE.",950M (TIER 4/STAGE IV) (2016),113310,Weights
Bucket Capacities,,2.5-9.2 m? (3.3-12.0 yd?),,2.5-9.2 m? (3.3-12.0 yd?),950M (TIER 4/STAGE IV) (2016),113310,Buckets
Hydraulic Cycle Time - Total,,8.9 s,,8.9 s,950M (TIER 4/STAGE IV) (2016),113310,Hydraulic System
Implement System - Maximum Operating Pressure,,4250 psi,,4250 psi,950M (TIER 4/STAGE IV) (2016),113310,Hydraulic System
"Implement System - Maximum Pump Output At 2,150 Rpm",,76 gal/min,,76 gal/min,950M (TIER 4/STAGE IV) (2016),113310,Hydraulic System
Implement Pump Type,,Variable Axial Piston,,Variable Axial Piston,950M (TIER 4/STAGE IV) (2016),113310,Hydraulic System
Note (1),,For a machine configuration as defined under ?Weight.?,,For a machine configuration as defined under ?Weight.?,950M (TIER 4/STAGE IV) (2016),113310,Operating Specifications
Note (2),,"Full compliance to ISO 143971:2007 Sections 1 thru 6, which requires 2% verification between calculations and testing.",,"Full compliance to ISO 143971:2007 Sections 1 thru 6, which requires 2% verification between calculations and testing.",950M (TIER 4/STAGE IV) (2016),113310,Operating Specifications
Breakout Force,lb,40690,kg,18456.7,950M (TIER 4/STAGE IV) (2016),113310,Operating Specifications
Static Tipping Load - Full 40 Degrees Turn - With Tire Deflection,lb,24262,kg,11005.1,950M (TIER 4/STAGE IV) (2016),113310,Operating Specifications
Static Tipping Load - Full 40 Degrees Turn - No Tire Deflection,lb,25926,kg,11759.9,950M (TIER 4/STAGE IV) (2016),113310,Operating Specifications
Cooling System,gal,15.6,L,59.1,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Fuel Tank,gal,72.6,L,274.9,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Crankcase,gal,5.8,L,22,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Def Tank,gal,4.2,L,15.9,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Hydraulic Tank,gal,33,L,125,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Transmission,gal,11.4,L,43.2,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Differential - Final Drives - Front,gal,11.4,L,43.2,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Differential - Final Drives - Rear,gal,11.4,L,43.2,950M (TIER 4/STAGE IV) (2016),113310,Service Refill Capacities
Note (1),,"*Distance of 15 m (49.2 ft), moving forward in second gear ratio.",,"*Distance of 15 m (49.2 ft), moving forward in second gear ratio.",950M (TIER 4/STAGE IV) (2016),113310,Sound
Note (2),,**European Union Directive ?2000/14/EC? as amended by ?2005/88/EC.?,,**European Union Directive ?2000/14/EC? as amended by ?2005/88/EC.?,950M (TIER 4/STAGE IV) (2016),113310,Sound
With Cooling Fan Speed At Maximum Value - Operator Sound Pressure Level (Iso 6396:2008),,70 dB(A),,70 dB(A),950M (TIER 4/STAGE IV) (2016),113310,Sound
With Cooling Fan Speed At Maximum Value - Exterior Sound Power Level (Iso 6395:2008),,108 dB(A),,108 dB(A),950M (TIER 4/STAGE IV) (2016),113310,Sound
With Cooling Fan Speed At Maximum Value - Exterior Sound Pressure Level (Sae J88:2013),,75 dB(A)*,,75 dB(A)*,950M (TIER 4/STAGE IV) (2016),113310,Sound
With Cooling Fan Speed At 70% Of Maximum Value - Operator Sound Pressure Level (Iso 6396:2008),,69 dB(A),,69 dB(A),950M (TIER 4/STAGE IV) (2016),113310,Sound
With Cooling Fan Speed At 70% Of Maximum Value - Exterior Sound Power Level (Iso 6395:2008),,106 LWA**,,106 LWA**,950M (TIER 4/STAGE IV) (2016),113310,Sound
Bucket Range,,2.5-9.2 m? (3.3-12.0 yd?),,2.5-9.2 m? (3.3-12.0 yd?),950M (TIER 4/STAGE IV) (2016),113310,Bucket Capacities
Displacement,cu in,428,L,7.1,962M (TIER 4/STAGE IV) (2016),113295,Engine
Net Power - Iso 9249,hp,250,kw,186.5,962M (TIER 4/STAGE IV) (2016),113295,Engine
Engine Model,,Cat C7.1 ACERT,,Cat C7.1 ACERT,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Gross Power - 2,100 Rpm - Sae J1995",hp,271,kw,202.1,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Net Power - 2,100 Rpm - Sae J1349",hp,250,kw,186.5,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Gross Power - 2,100 Rpm - Iso 14396 - Metric",hp,273,kw,203.6,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Net Torque - 1,350 Rpm",lb ft,865,Nm,1172.8,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Peak Gross Torque - 1,350 Rpm - Sae J1995",lb ft,921,Nm,1248.8,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Net Power - 2,100 Rpm - Iso 9249 - Metric",hp,253,kw,188.7,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Peak Gross Torque - 1,350 Rpm - Iso 14396",lb ft,918,Nm,1244.7,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Gross Power - 2,100 Rpm - Iso 14396",hp,269,kw,200.6,962M (TIER 4/STAGE IV) (2016),113295,Engine
"Maximum Net Power - 2,100 Rpm - Iso 9249",hp,250,kw,186.5,962M (TIER 4/STAGE IV) (2016),113295,Engine
Operating Weight,lb,44591,kg,20226.2,962M (TIER 4/STAGE IV) (2016),113295,Operational
Forward - 1,mph,4.3,km/h,7,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Forward - 2,mph,7.5,km/h,12.1,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Forward - 3,mph,12,km/h,19.4,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Forward - 4,mph,16,km/h,25.8,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Forward - 5,mph,24.5,km/h,39.5,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Note,,Maximum travel speed in standard vehicle with empty bucket and standard L3 tires with 787 mm (31 in) roll radius.,,Maximum travel speed in standard vehicle with empty bucket and standard L3 tires with 787 mm (31 in) roll radius.,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Reverse - 1,mph,4.3,km/h,7,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Reverse - 2,mph,7.5,km/h,12.1,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Reverse - 3,mph,16,km/h,25.8,962M (TIER 4/STAGE IV) (2016),113295,Transmission
Operating Weight,lb,44591,kg,20226.2,962M (TIER 4/STAGE IV) (2016),113295,Weights
Note,,"Weight based on a machine configuration with Michelin 23.5R25 XHA2 L3 radial tires, full fluids, operator, standard counterweight, cold start, roading fenders, Product Link, manual diff lock/open axles (front/rear), power train guard, secondary steering, sound suppression and a 3.3 m3 (4.3 yd3) general purpose bucket with BOCE.",,"Weight based on a machine configuration with Michelin 23.5R25 XHA2 L3 radial tires, full fluids, operator, standard counterweight, cold start, roading fenders, Product Link, manual diff lock/open axles (front/rear), power train guard, secondary steering, sound suppression and a 3.3 m3 (4.3 yd3) general purpose bucket with BOCE.",962M (TIER 4/STAGE IV) (2016),113295,Weights
Bucket Capacities,,2.5-9.2 m? (3.3-12.0 yd?),,2.5-9.2 m? (3.3-12.0 yd?),962M (TIER 4/STAGE IV) (2016),113295,Buckets
Hydraulic Cycle Time - Total,,8.9 s,,8.9 s,962M (TIER 4/STAGE IV) (2016),113295,Hydraulic System
Implement System - Maximum Operating Pressure,,4250 psi,,4250 psi,962M (TIER 4/STAGE IV) (2016),113295,Hydraulic System
"Implement System - Maximum Pump Output At 2,150 Rpm",,76 gal/min,,76 gal/min,962M (TIER 4/STAGE IV) (2016),113295,Hydraulic System
Implement Pump Type,,Variable Axial Piston,,Variable Axial Piston,962M (TIER 4/STAGE IV) (2016),113295,Hydraulic System
Note (1),,For a machine configuration as defined under ?Weight.?,,For a machine configuration as defined under ?Weight.?,962M (TIER 4/STAGE IV) (2016),113295,Operating Specifications
Note (2),,"Full compliance to ISO 143971:2007 Sections 1 thru 6, which requires 2% verification between calculations and testing.",,"Full compliance to ISO 143971:2007 Sections 1 thru 6, which requires 2% verification between calculations and testing.",962M (TIER 4/STAGE IV) (2016),113295,Operating Specifications
Breakout Force,lb,42489,kg,19272.7,962M (TIER 4/STAGE IV) (2016),113295,Operating Specifications
Static Tipping Load - Full 40 Degrees Turn - With Tire Deflection,lb,25814,kg,11709.1,962M (TIER 4/STAGE IV) (2016),113295,Operating Specifications
Static Tipping Load - Full 40 Degrees Turn - No Tire Deflection,lb,27494,kg,12471.1,962M (TIER 4/STAGE IV) (2016),113295,Operating Specifications
Cooling System,gal,15.6,L,59.1,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Fuel Tank,gal,72.6,L,274.9,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Crankcase,gal,5.8,L,22,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Def Tank,gal,4.2,L,15.9,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Hydraulic Tank,gal,33,L,125,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Transmission,gal,11.4,L,43.2,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Differential - Final Drives - Front,gal,11.4,L,43.2,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Differential - Final Drives - Rear,gal,11.4,L,43.2,962M (TIER 4/STAGE IV) (2016),113295,Service Refill Capacities
Note (1),,"*Distance of 15 m (49.2 ft), moving forward in second gear ratio.",,"*Distance of 15 m (49.2 ft), moving forward in second gear ratio.",962M (TIER 4/STAGE IV) (2016),113295,Sound
Note (2),,**European Union Directive ?2000/14/EC? as amended by ?2005/88/EC.?,,**European Union Directive ?2000/14/EC? as amended by ?2005/88/EC.?,962M (TIER 4/STAGE IV) (2016),113295,Sound
With Cooling Fan Speed At Maximum Value - Operator Sound Pressure Level (Iso 6396:2008),,70 dB(A),,70 dB(A),962M (TIER 4/STAGE IV) (2016),113295,Sound
With Cooling Fan Speed At Maximum Value - Exterior Sound Power Level (Iso 6395:2008),,108 dB(A),,108 dB(A),962M (TIER 4/STAGE IV) (2016),113295,Sound
With Cooling Fan Speed At Maximum Value - Exterior Sound Pressure Level (Sae J88:2013),,75 dB(A)*,,75 dB(A)*,962M (TIER 4/STAGE IV) (2016),113295,Sound
With Cooling Fan Speed At 70% Of Maximum Value - Operator Sound Pressure Level (Iso 6396:2008),,69 dB(A),,69 dB(A),962M (TIER 4/STAGE IV) (2016),113295,Sound
With Cooling Fan Speed At 70% Of Maximum Value - Exterior Sound Power Level (Iso 6395:2008),,106 LWA**,,106 LWA**,962M (TIER 4/STAGE IV) (2016),113295,Sound
Bucket Range,,2.5-9.2 m? (3.3-12.0 yd?),,2.5-9.2 m? (3.3-12.0 yd?),962M (TIER 4/STAGE IV) (2016),113295,Bucket Capacities
Displacement,cu in,428,L,7.1,950 GC,113296,Engine
Bore,in,4.2,mm,105,950 GC,113296,Engine
Stroke,in,5.4,mm,134.9,950 GC,113296,Engine
Net Power - Iso 9249,hp,225,kw,167.8,950 GC,113296,Engine
Engine Model,,Cat C7.1 ACERT,,Cat C7.1 ACERT,950 GC,113296,Engine
"Peak Gross Torque - 1,400 Rpm - Sae J1995",lb ft,811,Nm,1099.6,950 GC,113296,Engine
"Peak Gross Torque - 1,400 Rpm - Iso 14396",lb ft,805,Nm,1091.5,950 GC,113296,Engine
Note,,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.9 kg (4.2 lb) of refrigerant which has a CO2 equivalent of 2.717 metric tonnes (2.995 tons).,,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.9 kg (4.2 lb) of refrigerant which has a CO2 equivalent of 2.717 metric tonnes (2.995 tons).,950 GC,113296,Engine
"Maximum Net Power - 1,700 Rpm - Iso 9249",hp,225,kw,167.8,950 GC,113296,Engine
"Maximum Power - 1,700 Rpm - Iso 14396",hp,240,kw,179,950 GC,113296,Engine
"Maximum Power - 1,700 Rpm - Iso 14396 - Metric",hp,243,kw,181.3,950 GC,113296,Engine
"Maximum Net Power - 1,700 Rpm - Iso 9249 - Metric",hp,228,kw,170.1,950 GC,113296,Engine
"Maximum Net Power - 1,700 Rpm - Sae J1349",hp,225,kw,167.8,950 GC,113296,Engine
"Maximum Power - 1,700 Rpm - Sae J1995",hp,241,kw,179.8,950 GC,113296,Engine
Operating Weight,lb,41554,kg,18848.6,950 GC,113296,Operational
Forward - 1,mph,4.5,km/h,7.3,950 GC,113296,Transmission
Forward - 2,mph,8,km/h,12.9,950 GC,113296,Transmission
