subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Maximum Pry-Out Force - Lgp,38217,51815.3,lb ft,Nm,D6N Tier 4 Interim/Stage IIIB,113591,Ripper
Each Additional Shank,172,78.1,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Ripper
Weight - With Three Shanks,3444,1562.2,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Ripper
Overall Beam Width,86.7,2202.2,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Ripper
Number Of Pockets In Ripper Beam,3,3,,,D6N Tier 4 Interim/Stage IIIB,113591,Ripper
Displacement,402.8,6.6,cu in,L,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Bore,4.2,105,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Stroke,5,126.8,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Emissions,"U.S. Tier 4 Interim, EU Stage IIIB, Japan 2011 (Tier 4 Interim)","U.S. Tier 4 Interim, EU Stage IIIB, Japan 2011 (Tier 4 Interim)",,,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Net Power - Iso 9249,150,111.9,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Net Power - Sae J1349,148,110.4,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Gross Power - Sae J1995,177,132,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Engine Model,Cat C6.6 ACERT,Cat C6.6 ACERT,,,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Flywheel Power,150,111.9,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Engine Power - Iso 14396,173,129.1,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Net Power - Iso 9249 (Din),152,113.4,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Engine Power - Iso 14396 (Din),175.3,130.8,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
"Engine Speed - 1,850 Rpm - Net Power",156.6,116.8,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Net Power - Eu 80/1269 Eec,150,111.9,hp,kw,D6N Tier 4 Interim/Stage IIIB,113591,Engine
Operating Weight,36392,16507.2,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Operational
2.0 Forward,2.9,4.7,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
3.0 Forward,4.7,7.5,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
2.0 Reverse,3.2,5.2,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
1.5 Forward,2,3.2,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
2.5 Forward,3.6,5.7,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
1.5 Reverse,2,3.2,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
3.5 Forward,6.3,10,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
3.0 Reverse*,5.3,8.5,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
3.5 Reverse*,7.3,11.7,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
1.5 Forward - Drawbar Pull,71939,32631,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
2.5 Forward* - Drawbar Pull,39341.6,17845.1,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
3.5 Forward* - Drawbar Pull,21806.5,9891.3,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
2.5 Reverse*,4,6.5,mph,km/h,D6N Tier 4 Interim/Stage IIIB,113591,Transmission
Operating Weight - Lgp,39895,18096.1,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Shipping Weight - Lgp,38788,17594,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Shipping Weight - Xl,35602,16148.8,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Operating Weight - Xl,36392,16507.2,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Xl Vpat Blade,2341,1061.9,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Lgp Vpat - Blade,2720,1233.8,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Xl Vpat Foldable,2762,1252.9,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Lgp Vpat - Foldable,3287,1491,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Xl Su - Blade,5732,2600,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Xl Vpat Landfill,2912,1320.9,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Multi-Shank Ripper - With 3 Shanks,3444,1562.2,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Lgp Vpat - Landfill,3166,1436.1,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Winch Pa55,"See value and note, next page","See value and note, next page",,,D6N Tier 4 Interim/Stage IIIB,113591,Weights
Cooling System,10.6,40,gal,L,D6N Tier 4 Interim/Stage IIIB,113591,Service Refill Capacities
Fuel Tank,79,299.1,gal,L,D6N Tier 4 Interim/Stage IIIB,113591,Service Refill Capacities
Final Drive - Each,2.3,8.6,gal,L,D6N Tier 4 Interim/Stage IIIB,113591,Service Refill Capacities
Hydraulic Tank,7.8,29.5,gal,L,D6N Tier 4 Interim/Stage IIIB,113591,Service Refill Capacities
Brakes,Brakes meet the standard ISO 10265:2008,Brakes meet the standard ISO 10265:2008,,,D6N Tier 4 Interim/Stage IIIB,113591,Standards
Rops,"Meets ROPS criteria SAE J1040-1994, ISO 3471:2008 and DLV criteria SAE J397B-2009, ISO 3164:1995.","Meets ROPS criteria SAE J1040-1994, ISO 3471:2008 and DLV criteria SAE J397B-2009, ISO 3164:1995.",,,D6N Tier 4 Interim/Stage IIIB,113591,Standards
Fops,"Meets ISO 3449-2005 Level II and DLV criteria SAE J397B-2009, ISO 3164:1995.","Meets ISO 3449-2005 Level II and DLV criteria SAE J397B-2009, ISO 3164:1995.",,,D6N Tier 4 Interim/Stage IIIB,113591,Standards
Note,*Values are for an experienced operator in a dozing application; consult the Operating and Maintenance Manual for details.,*Values are for an experienced operator in a dozing application; consult the Operating and Maintenance Manual for details.,,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Sound Levels - Average Exterior Sound Pressure Level,83 dB(A) (SAE J88:2006),83 dB(A) (SAE J88:2006),,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Sound Levels - Dynamic Operator Sound Pressure Level (Lpa),78 dB(A) (ISO 6396:2008),78 dB(A) (ISO 6396:2008),,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Sound Levels - Maximum Sound Power Level,110 dB(A) (2000/14/EC),110 dB(A) (2000/14/EC),,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Vibration Levels - Maximum Hand/Arm*,2.5 m/s2 (ISO 5349:2001),2.5 m/s2 (ISO 5349:2001),,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Vibration Levels - Maximum Whole Body*,0.5 m/s2 (ISO/TR25398:2006),0.5 m/s2 (ISO/TR25398:2006),,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Vibration Levels - Seat Transmissibility Factor,<0.7 (ISO 7096:2000 - spectral class EM6),<0.7 (ISO 7096:2000 - spectral class EM6),,,D6N Tier 4 Interim/Stage IIIB,113591,Sustainability - Sound And Vibration Levels
Flange Diameter,19.8,503,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Oil Capacity,19.6,74.1,gal,L,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Winch Model,PA55,PA55,,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Winch And Bracket Length,45.1,1145.6,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Drum Capacity - 22 Mm (0.88 In),288.8,88,ft in,m,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Winch Drive,Mechanical,Mechanical,,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Control,Electric,Electric,,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Overall Width,38.4,975.4,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Drum Diameter,10,254,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Drum Width,12.4,315,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Rope Diameter - Recommended,0.8,19.1,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Cable Ferrule Size - O.D.  Length,54 mm  67 mm (2.13 in  2.63 in),54 mm  67 mm (2.13 in  2.63 in),,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Maximum Bare Drum - Line Speed,147 ft/min,147 ft/min,,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Maximum Full Drum - Line Speed,257 ft/min,257 ft/min,,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Winch Case - Width,38.4,975.4,in,mm,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Weight*,2814,1276.5,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Maximum Bare Drum - Line Pull,69200,31388.6,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Maximum Full Drum - Line Pull,54100,24539.4,lb,kg,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Note,"* Weight: Includes pump, operator controls, oil, mounting brackets and spacers.","* Weight: Includes pump, operator controls, oil, mounting brackets and spacers.",,,D6N Tier 4 Interim/Stage IIIB,113591,Winch
Displacement,567,9.3,cu in,L,D7E WH,113588,Engine
Bore,4.5,114.3,in,mm,D7E WH,113588,Engine
Stroke,5.9,149.9,in,mm,D7E WH,113588,Engine
Engine Model,Cat C9.3 ACERT,Cat C9.3 ACERT,,,D7E WH,113588,Engine
Flywheel Power,251,187.2,hp,kw,D7E WH,113588,Engine
Note,"Rated power occurs at 1,700 rpm. Maximum power occurs at 1,600 rpm.","Rated power occurs at 1,700 rpm. Maximum power occurs at 1,600 rpm.",,,D7E WH,113588,Engine
Net Power - Rated - Iso 9249/Sae J1349,238,177.5,hp,kw,D7E WH,113588,Engine
Net Power - Maximum - Iso 9249/Sae J1349,251,187.2,hp,kw,D7E WH,113588,Engine
Engine Power - Maximum - Iso 14396,266,198.4,hp,kw,D7E WH,113588,Engine
Engine Power - Maximum - Sae J1995,270,201.4,hp,kw,D7E WH,113588,Engine
Engine Power - Maximum - Iso 14396 (Din),270,201.4,hp,kw,D7E WH,113588,Engine
Net Power - Rated - Iso 9249/Sae J1349 (Din),241,179.8,hp,kw,D7E WH,113588,Engine
Net Power - Maximum - Iso 9249/Sae J1349 (Din),254,189.5,hp,kw,D7E WH,113588,Engine
Global Emissions,Tier 4 Final/Stage IV/Korea Tier 4,Tier 4 Final/Stage IV/Korea Tier 4,,,D7E WH,113588,Engine
Drive Train Type,Electric Drive,Electric Drive,,,D7E WH,113588,Drive Train
Ac Compressor Nominal Input Voltage,320 V,320 V,,,D7E WH,113588,Drive Train
Ac Compressor Maximum Input Current,12 A,12 A,,,D7E WH,113588,Drive Train
Ac Generator And Propulsion Module Voltage,480 V,480 V,,,D7E WH,113588,Drive Train
Note,Nominal current dependent on heat/humidity loading on HVAC unit.,Nominal current dependent on heat/humidity loading on HVAC unit.,,,D7E WH,113588,Drive Train
Operating Weight,71455,32411.5,lb,kg,D7E WH,113588,Operational
Note (1),"Shipping Weight includes lubricants, coolant, ROPS/FOPS cab, standard track and 10% fuel.","Shipping Weight includes lubricants, coolant, ROPS/FOPS cab, standard track and 10% fuel.",,,D7E WH,113588,Weights
Note (2),"Operating Weight includes blade, lubricants, coolant, full fuel tank, standard track, striker box and operator.","Operating Weight includes blade, lubricants, coolant, full fuel tank, standard track, striker box and operator.",,,D7E WH,113588,Weights
Shipping Weight,59456,26968.8,lb,kg,D7E WH,113588,Weights
Operating Weight - Lgp S Wha,69478,31514.7,lb,kg,D7E WH,113588,Weights
Operating Weight - Lgp U Wha,71455,32411.5,lb,kg,D7E WH,113588,Weights
Cooling System,22.5,85.2,gal,L,D7E WH,113588,Service Refill Capacities
Fuel Tank,113.5,429.7,gal,L,D7E WH,113588,Service Refill Capacities
Def Tank,4.8,18,gal,L,D7E WH,113588,Service Refill Capacities
Final Drive - Each,7,26.5,gal,L,D7E WH,113588,Service Refill Capacities
Hydraulic Tank,20,75.8,gal,L,D7E WH,113588,Service Refill Capacities
Engine Crankcase,8,30.3,gal,L,D7E WH,113588,Service Refill Capacities
Power Train,16,60.6,gal,L,D7E WH,113588,Service Refill Capacities
Pivot Shaft Compartment,1.8,6.9,gal,L,D7E WH,113588,Service Refill Capacities
Roller Frames - Each,11,41.7,gal,L,D7E WH,113588,Service Refill Capacities
Brakes,Crawler Machine Brake Requirements meets the following criteria: ISO 10265:2008,Crawler Machine Brake Requirements meets the following criteria: ISO 10265:2008,,,D7E WH,113588,Standards
Rops,Rollover Protective Structure (ROPS) meets the following criteria: ISO 3471:2008,Rollover Protective Structure (ROPS) meets the following criteria: ISO 3471:2008,,,D7E WH,113588,Standards
Fops,Falling Object Protective Structure (FOPS) meets the following criteria: ISO 3449:2005 Level II,Falling Object Protective Structure (FOPS) meets the following criteria: ISO 3449:2005 Level II,,,D7E WH,113588,Standards
Air Conditioning,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.2 kg of refrigerant which has a CO2 equivalent 1.716 metric tonnes.,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.2 kg of refrigerant which has a CO2 equivalent 1.716 metric tonnes.,,,D7E WH,113588,Air Conditioning System
Beam Cross Section,165  211 mm (6.5  8.3 in),165  211 mm (6.5  8.3 in),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Number Of Pockets,3,3,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Ripper Type,Fixed Parallelogram,Fixed Parallelogram,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Pocket Spacing,3,0.1,ft in,m,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Shank Gauge,5.9,0.2,ft in,m,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Shank Section,58.5  138 mm (2.3  5.4 in),58.5  138 mm (2.3  5.4 in),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Maximum Penetration Force - Xl,9480,12853.2,lb ft,Nm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Maximum Pry-Out Force - Xl,37480,50816.1,lb ft,Nm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Maximum Penetration Force - Lgp,10138,13745.3,lb ft,Nm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Maximum Pry-Out Force - Lgp,37480,50816.1,lb ft,Nm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Each Additional Shank,75,34.1,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Overall Beam Width,76.8,1950.8,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Weight - With One Shank,1863,845.1,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Maximum Penetration - Xl And Lgp,14.2,360.7,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Ripper
Displacement,402.8,6.6,cu in,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Bore,4.2,105,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Stroke,5,126.8,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Emissions,U.S. EPA Tier 4 Interim/EU Stage IIIB/Japan MLIT Step 4,U.S. EPA Tier 4 Interim/EU Stage IIIB/Japan MLIT Step 4,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Net Power - Iso 9249,130,97,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Net Power - Sae J1349,128,95.5,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Gross Power - Sae J1995,158,117.9,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Engine Model,Cat C6.6 ACERT,Cat C6.6 ACERT,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Flywheel Power,130,97,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Engine Power - Iso 14396,155,115.6,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Net Power - Iso 9249 (Din),132,98.5,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Engine Power - Iso 14396 (Din),157,117.1,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Net Power - Eu 80/1269 Eec,130,97,hp,kw,D6K2 (Tier 4 Interim/Stage IIIB),113593,Engine
Operating Weight,29346,13311.2,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Operational
Operating Weight - Lgp,30750,13948,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Weights
Shipping Weight - Lgp,30353,13767.9,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Weights
Shipping Weight - Xl,28949,13131.1,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Weights
Operating Weight - Xl,29346,13311.2,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Weights
Weight - Xl,28740,13036.3,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Weights
Weight - Lgp,30144,13673.1,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Weights
Cooling System,8.6,32.5,gal,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Service Refill Capacities
Fuel Tank,77.9,294.9,gal,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Service Refill Capacities
Hydraulic Tank,15.3,58,gal,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Service Refill Capacities
Engine Crankcase,4.4,16.5,gal,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Service Refill Capacities
Final Drive - Each - Lgp,6,22.8,gal,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Service Refill Capacities
Final Drive - Each - Xl,4,15.2,gal,L,D6K2 (Tier 4 Interim/Stage IIIB),113593,Service Refill Capacities
Brakes,Standards,Standards,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Standards
Rops/Fops,Standards,Standards,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Standards
Cab,Standards,Standards,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Standards
Flange Diameter,18,457.2,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Winch Model,PA50,PA50,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Winch And Bracket Length,33.2,843.3,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Winch Drive,Hydrostatic,Hydrostatic,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Drum Diameter,8,203.2,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Drum Width,11,279.4,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Rope Diameter - Recommended,0.8,19.1,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Maximum Bare Drum - Line Speed,124 ft/min,124 ft/min,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Maximum Full Drum - Line Speed,230 ft/min,230 ft/min,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Winch Case - Width,35.6,904.3,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Weight*,2000,907.2,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Maximum Bare Drum - Line Pull,50000,22679.7,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Maximum Full Drum - Line Pull,26000,11793.5,lb,kg,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Optional Cable Size,0.9,22.1,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Cable Ferrule Size - Outside Diameter,2.2,54.2,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Drum Capacity - Optional Rope,220,5588,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Cable Ferrule Size - Length,2.7,66.9,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Drum Capacity - Recommended Rope,306,7772.4,in,mm,D6K2 (Tier 4 Interim/Stage IIIB),113593,Winch
Sound Levels - Average Exterior Sound Pressure Level,79 dB(A) (SAE J88:2006),79 dB(A) (SAE J88:2006),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Sound Levels - Maximum Sound Power Level,109 dB(A) (2000/14/EC),109 dB(A) (2000/14/EC),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Sound Levels - Dynamic Operator Sound Pressure Level (Lpa)*,78 dB(A) (ISO 6396:2008),78 dB(A) (ISO 6396:2008),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Vibration Levels - Maximum Hand/Arm**,2.5 m/s2 (ISO 5349:2001),2.5 m/s2 (ISO 5349:2001),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Vibration Levels - Maximum Whole Body,0.5 m/s2 (ISO/TR 25398:2006),0.5 m/s2 (ISO/TR 25398:2006),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Vibration Levels - Seat Transmissibility Factor < 0.7,ISO 7096:2000 - spectral class EM6,ISO 7096:2000 - spectral class EM6,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Engine Emissions,Fully complies with U.S. EPA Tier 4 Interim/EU Stage IIIB/Japan MLIT Step 4 emission standards,Fully complies with U.S. EPA Tier 4 Interim/EU Stage IIIB/Japan MLIT Step 4 emission standards,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Sustainability
Transmission Type,Hydrostatic,Hydrostatic,,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Transmission - Travel Speed
Forward,0-10 km/h (0-6.2 mph),0-10 km/h (0-6.2 mph),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Transmission - Travel Speed
Reverse,0-10 km/h (0-6.2 mph),0-10 km/h (0-6.2 mph),,,D6K2 (Tier 4 Interim/Stage IIIB),113593,Transmission - Travel Speed
Beam Cross Section,216 x 254 mm   8.5 x 10 in,216 x 254 mm   8.5 x 10 in,,,D6R Series III,113597,Ripper
Number Of Pockets,3,3,,,D6R Series III,113597,Ripper
Ripper Type,Fixed Parallelogram,Fixed Parallelogram,,,D6R Series III,113597,Ripper
Overall Beam Width,87,2209.8,in,mm,D6R Series III,113597,Ripper
Weight - Each Additional Shank,163,74,lb,kg,D6R Series III,113597,Ripper
Maximum Penetration,19.7,500.4,in,mm,D6R Series III,113597,Ripper
"Maximum Clearance Raised - Under Tip, Pinned In Bottom Hole",20.1,510.6,in,mm,D6R Series III,113597,Ripper
Pry-Out Force,20137,9134,lb,kg,D6R Series III,113597,Ripper
Weight - With One Shank,3606,1635.7,lb,kg,D6R Series III,113597,Ripper
Maximum Penetration Force,14557,6603,lb,kg,D6R Series III,113597,Ripper
Gross Power,213,158.9,hp,kw,D6R Series III,113597,Engine
Displacement,537,8.8,cu in,L,D6R Series III,113597,Engine
Bore,4.4,111.8,in,mm,D6R Series III,113597,Engine
Stroke,5.9,149.9,in,mm,D6R Series III,113597,Engine
Net Power - Iso 9249,185,138,hp,kw,D6R Series III,113597,Engine
Net Power - Sae J1349,183,136.5,hp,kw,D6R Series III,113597,Engine
Engine Model,Cat C9 ACERT,Cat C9 ACERT,,,D6R Series III,113597,Engine
Flywheel Power,185,138,hp,kw,D6R Series III,113597,Engine
Net Power - Din 70020,192 PS,192 PS,,,D6R Series III,113597,Engine
Net Power - Caterpillar,185,138,hp,kw,D6R Series III,113597,Engine
Net Power - Eu 80/1269,185,138,hp,kw,D6R Series III,113597,Engine
Operating Weight,41159,18669.5,lb,kg,D6R Series III,113597,Operational
1.0 Forward,2.3,3.8,mph,km/h,D6R Series III,113597,Transmission
2.0 Forward,4.1,6.6,mph,km/h,D6R Series III,113597,Transmission
3.0 Forward,7.1,11.5,mph,km/h,D6R Series III,113597,Transmission
1.0 Reverse,3,4.9,mph,km/h,D6R Series III,113597,Transmission
2.0 Reverse,5.2,8.4,mph,km/h,D6R Series III,113597,Transmission
3.0 Reverse,9.1,14.7,mph,km/h,D6R Series III,113597,Transmission
Drawbar Pull - 2.0 Forward,42000,19050.9,lb,kg,D6R Series III,113597,Transmission
Drawbar Pull - 3.0 Forward,23000,10432.7,lb,kg,D6R Series III,113597,Transmission
Drawbar Pull - 1.0 Forward,77000,34926.7,lb,kg,D6R Series III,113597,Transmission
Shipping Weight,32426,14708.2,lb,kg,D6R Series III,113597,Weights
Operating Weight - Xl A,44645,20250.7,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Xl A,36824,16703.1,lb,kg,D6R Series III,113597,Weights
Operating Weight - Xl Su,44270,20080.6,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Xl Su,36824,16703.1,lb,kg,D6R Series III,113597,Weights
Operating Weight - Xw A,46553,21116.1,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Xw A,38281,17364,lb,kg,D6R Series III,113597,Weights
Operating Weight - Xw Su,45573,20671.6,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Xw Su,38281,17364,lb,kg,D6R Series III,113597,Weights
Operating Weight - Xw Vpat,47126,21376,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Xw Vpat,39058,17716.5,lb,kg,D6R Series III,113597,Weights
Operating Weight - Lgp S,47874,21715.3,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Lgp S,41551,18847.3,lb,kg,D6R Series III,113597,Weights
Operating Weight - Lgp Vpat,50818,23050.7,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Lgp Vpat,41985,19044.1,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Std A,32426,14708.2,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Std Su,32426,14708.2,lb,kg,D6R Series III,113597,Weights
Operating Weight - Xl Vpat,46540,21110.2,lb,kg,D6R Series III,113597,Weights
Shipping Weight - Xl Vpat,37872,17178.5,lb,kg,D6R Series III,113597,Weights
Operating Weight - Std Su,40400,18325.2,lb,kg,D6R Series III,113597,Weights
Operating Weight - Std A,41148,18664.5,lb,kg,D6R Series III,113597,Weights
Cooling System,18.5,70.1,gal,L,D6R Series III,113597,Service Refill Capacities
Fuel Tank,112,424,gal,L,D6R Series III,113597,Service Refill Capacities
Final Drive - Each,3.6,13.7,gal,L,D6R Series III,113597,Service Refill Capacities
Hydraulic Tank,13.6,51.5,gal,L,D6R Series III,113597,Service Refill Capacities
Engine Crankcase,7.4,28.1,gal,L,D6R Series III,113597,Service Refill Capacities
Power Train,38.5,145.8,gal,L,D6R Series III,113597,Service Refill Capacities
Pivot Shaft Compartment,1.3,5,gal,L,D6R Series III,113597,Service Refill Capacities
Roller Frames - Each,6.5,24.7,gal,L,D6R Series III,113597,Service Refill Capacities
Brakes,Brakes meet criterion SAE J/ISO 10265 MAR99,Brakes meet criterion SAE J/ISO 10265 MAR99,,,D6R Series III,113597,Standards
